timestamp,BFR_Target,BFR_Filt,FFR_Target,FFR_Filt,TFR_Target,TFR_Filt,BFL_Target,BFL_Filt,FFL_Target,FFL_Filt,TFL_Target,TFL_Filt,BBR_Target,BBR_Filt,FBR_Target,FBR_Filt,TBR_Target,TBR_Filt,BBL_Target,BBL_Filt,FBL_Target,FBL_Filt,TBL_Target,TBL_Filt
0.6,0.0,-0.1378109793154151,0.0,-1.7750705426379338,0.0,1.5609013167540158,0.0,-0.11093429832322732,0.0,-1.766939522596151,0.0,1.5545952378810957,0.0,-0.1341294273114989,0.0,-1.6134982556747568,0.0,1.447296060949663,0.0,-0.11531999347178293,0.0,-1.6054702220790529,0.0,1.4410550823172696
0.61,0.0,-0.13771364911974243,0.0,-1.7730870130142797,0.0,1.5591601521241913,0.0,-0.11077487610510967,0.0,-1.7649903573617587,0.0,1.5528768049746027,0.0,-0.13403062969237173,0.0,-1.6117038369137475,0.0,1.4456981168489973,0.0,-0.1151654737820246,0.0,-1.6037111282026573,0.0,1.439480616991876
0.62,0.0,-0.13761643898598874,0.0,-1.77110540438133,0.0,1.5574208017633653,0.0,-0.11061559395923086,0.0,-1.7630430063963645,0.0,1.551160186337108,0.0,-0.13393189877431066,0.0,-1.609911445865148,0.0,1.44410198701733,0.0,-0.11501103413354563,0.0,-1.6019539553169657,0.0,1.4379080726571862
0.63,0.0,-0.13751934891415407,0.0,-1.769125716739084,0.0,1.5556833723932433,0.0,-0.1104564585556975,0.0,-1.7610975764216745,0.0,1.5494455954120234,0.0,-0.13383326123774214,0.0,-1.6081208690855469,0.0,1.4425077781763667,0.0,-0.11485671454698565,0.0,-1.6001987034219782,0.0,1.436337342591495
0.64,0.0,-0.13742239224445163,0.0,-1.767148056809248,0.0,1.5539478640138253,0.0,-0.11029747656461619,0.0,-1.7591540674376884,0.0,1.547732818755937,0.0,-0.1337347170826662,0.0,-1.6063324267400614,0.0,1.4409154903261074,0.0,-0.11470248834191824,0.0,-1.5984452657959891,0.0,1.4347685335165077
0.65,0.0,-0.13732558231709463,0.0,-1.7651724245918217,0.0,1.5522141699034058,0.0,-0.11013864131588035,0.0,-1.7572124794444066,0.0,1.5460219630905545,0.0,-0.1336362529688696,0.0,-1.6045459053852797,0.0,1.4393250167448466,0.0,-0.11454835551834337,0.0,-1.5966938558824098,0.0,1.4332015387105186
0.66,0.0,-0.13722889245165665,0.0,-1.7631988200868054,0.0,1.550482503505396,0.0,-0.10997995947959655,0.0,-1.7552729191635346,0.0,1.5443129216941704,0.0,-0.13353788223656554,0.0,-1.6027613050212024,0.0,1.4377362507108782,0.0,-0.11439434275668753,0.0,-1.5949441535161228,0.0,1.4316363581735279
0.67,0.0,-0.13713233598835087,0.0,-1.7612273500159046,0.0,1.5487525446546786,0.0,-0.10982143772587143,0.0,-1.7533354933167782,0.0,1.5426059080101961,0.0,-0.13343961822596728,0.0,-1.6009787323695348,0.0,1.4361494056676138,0.0,-0.11424045005695067,0.0,-1.593196478862246,0.0,1.4300728851838296
0.68,0.0,-0.13703592626739056,0.0,-1.7592580143791197,0.0,1.5470246135163712,0.0,-0.10966306938459837,0.0,-1.7513999884607256,0.0,1.54090070859522,0.0,-0.13334143425664835,0.0,-1.5991980807085715,0.0,1.4345643748933476,0.0,-0.11408666407891961,0.0,-1.5914506184773671,0.0,1.4285113331848354
0.6900000000000001,0.0,-0.13693964994856248,0.0,-1.7572907064547443,0.0,1.545298496647062,0.0,-0.10950486112588398,0.0,-1.749466618038789,0.0,1.5391974301709481,0.0,-0.1332433570090352,0.0,-1.5974194567600177,0.0,1.4329810516663741,0.0,-0.11393298482259431,0.0,-1.5897067858048983,0.0,1.426951382011428
0.7000000000000001,0.0,-0.13684352037207984,0.0,-1.7553256396861905,0.0,1.5435744074901627,0.0,-0.10934680627962165,0.0,-1.7475352753292621,0.0,1.5374959660156744,0.0,-0.13314538648312782,0.0,-1.5956427538021682,0.0,1.4313995427083988,0.0,-0.11377942562818803,0.0,-1.5879646606797218,0.0,1.4253932451070188
0.71,0.0,-0.1367475241977294,0.0,-1.7533627073517524,0.0,1.541852025880556,0.0,-0.109188911515918,0.0,-1.745606067053851,0.0,1.5357965295728107,0.0,-0.1330474959984998,0.0,-1.5938681852784342,0.0,1.429819741297716,0.0,-0.11362597315548753,0.0,-1.5862245632669554,0.0,1.4238369224716079
0.72,0.0,-0.13665166142551122,0.0,-1.7514019094514297,0.0,1.5401316719833589,0.0,-0.1090311701646664,0.0,-1.7436789932125552,0.0,1.5340989073989453,0.0,-0.13294972557579077,0.0,-1.5920954310236985,0.0,1.4282416474343258,0.0,-0.11347265408491926,0.0,-1.5844862801231872,0.0,1.422282200661784
0.73,0.0,-0.13655594539563848,0.0,-1.749443245985223,0.0,1.5384131323551602,0.0,-0.1088735955660801,0.0,-1.7417540538053753,0.0,1.532403099494078,0.0,-0.13285203519436106,0.0,-1.5903247044813729,0.0,1.426665261118228,0.0,-0.11331944173605676,0.0,-1.582749917970123,0.0,1.4207291863992522
0.74,0.0,-0.1364603761081112,0.0,-1.747486930396543,0.0,1.5366965137176656,0.0,-0.10871617437994585,0.0,-1.739831142110605,0.0,1.5307093193016206,0.0,-0.13275446487485038,0.0,-1.588555898929751,0.0,1.4250906890711283,0.0,-0.11316634944911327,0.0,-1.581015370086057,0.0,1.4191779864057188
